record_type,id,category_id,name,description,price,image,available,sort_order
DATA,pervye-tushenka-shurpa,pervye,Тушенка шурпа,Говядина,45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/p2_1780592714017.jpg,true,20
DATA,pervye-pelmen-shurpa,pervye,Пельмен шурпа,"Морковь, картофель, мука, лук репч., помидоры свеж., фарш",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/p3_1780592735218.jpg,true,30
DATA,pervye-mastava,pervye,Мастава,"Лук репч., морковь, чеснок, картофель, рис, говядина, перец болгарский, томат, топленое масло",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/p4_1780592745501.jpg,true,40
DATA,pervye-gilak-shurpa,pervye,Гилак шурпа,"Лук репч., морковь, картофель, помидоры свеж., фарш",35000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/p5_1780592762051.jpg,true,50
DATA,evropa-myaso-s-gribami,evropa,Мясо с грибами,"Шампиньоны свеж., масло раст., сметана, каймак, лук репч., картофель, говядина",65000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e1_1780592797384.png,true,10
DATA,evropa-myaso-po-frantsuzski,evropa,Мясо по-французски,"Сыр твердый, майонез, масло раст., помидоры свеж., шампиньоны свеж., говядина",60000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e2_1780586465483.jpg,true,20
DATA,evropa-chikken-sheyk,evropa,Чиккен шейк,"Масло раст., яйцо куриное, сухари, каймак, куриная грудка",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e3_1780592817851.jpg,true,30
DATA,evropa-kuritsa-po-amerikanski,evropa,Курица по-американски,"Курица, масло сливоч., масло раст., чеснок, зелень, каймак",70000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e4_1780593021518.jpeg,true,40
DATA,evropa-kotlety-po-domashnemu,evropa,Котлеты по-домашнему,"Серый хлеб, лук репч., яйцо куриное, масло раст., сухари, говядина",55000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e5_1780593118664.jpg,true,50
DATA,evropa-kurinye-krylyshki-ostrye,evropa,Куриные крылышки (острые),"Куриные крылышки, чеснок, острый соус, соевый соус, мед, оливковое масло, перец, чили-порошок",90000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e6_1780593331736.jpg,true,60
DATA,evropa-kuritsa-s-kremovym-supom,evropa,Курица с кремовым супом,"Куриные крылышки, чеснок, острый соус, соевый соус, мед, оливковое масло, перец, чили-порошок",45000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e7_1780593401337.jpg,true,70
DATA,evropa-myaso-s-gribami-po-domashnemu,evropa,Мясо с грибами по-домашнему,"Шампиньоны свеж., масло раст., лук репч., картофель, говядина",60000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/e9_1780593425587.jpg,true,80
DATA,nacional-zhiz-file,nacional,Жиз (филе),"Говядина, помидоры, огурцы, лимон, лук, кунжут",260000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n1_1780586241089.jpg,true,10
DATA,nacional-zhiz-po-uygurskiy,nacional,Жиз по уйгурский,"Перец болгарский, чеснок, масло растительное, говядина",260000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n2_1780593441638.jpg,true,20
DATA,nacional-zhiz-karshi,nacional,Жиз Карши,"Баранина, помидоры, огурцы, лимон, лук",250000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n3_1780593452571.jpg,true,30
DATA,nacional-baranya-sheyka,nacional,Баранья шейка,"Баранья шейка, картошку, помидоры, огурцы, лимон",250000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n4_1780593465654.jpg,true,40
DATA,nacional-zhiz-vaguri,nacional,Жиз Вагури,"Баранина, помидоры, огурцы, лимон, лук",270000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n5_1780586617107.jpg,true,50
DATA,nacional-zhiz-vaguri-koreyka,nacional,Жиз Вагури Корейка,"Баранина корейка, помидоры, огурцы, лимон, лук",300000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n6_1780593584357.JPG,true,60
DATA,nacional-kazan-kabab-1-kg,nacional,Казан кабаб (1 кг),"Баранина, картофел., помидоры, огурцы, лимон, лук",250000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n7_1780593593056.jpg,true,70
DATA,nacional-kazan-kabab-1-portsiya,nacional,Казан кабаб (1 порция),"Баранина, картофел., помидоры, огурцы, лимон, лук",70000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n8_1780593604156.jpg,true,80
DATA,nacional-somsa-obychnyy-i-ostryy,nacional,Сомса обычный и острый,"Мука, лук репч., говядина, курдюк",12000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n9_1780593633357.jpg,true,90
DATA,nacional-olot-somsa,nacional,Олот сомса,,10000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n10_1780593726675.jpg,true,100
DATA,nacional-somsa-baranina,nacional,Сомса баранина,"Мука, лук репч., баранина, курдюк",15000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n11_1780593768442.jpg,true,110
DATA,nacional-kurtoba-1-portsiya,nacional,Куртоба (1 порция),,70000,https://buqhmdhdcdbjkgomsoor.supabase.co/storage/v1/object/public/photos/n12_1780593777526.jpg,true,120
